epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,1149.66,1.37626,0.86967,0.90253,0.81962,0.70192,0.76094,0.55887,1.35556,0.82217,0.9144,0.000273655,0.000273655,0.000273655
110,1159.41,1.3448,0.84579,0.90111,0.84145,0.69064,0.75523,0.55186,1.35513,0.81483,0.91486,0.000270745,0.000270745,0.000270745
111,1169.68,1.355,0.84418,0.8968,0.79336,0.71321,0.76364,0.55216,1.35995,0.815,0.91526,0.000267834,0.000267834,0.000267834
112,1179.79,1.38975,0.86957,0.90066,0.8138,0.71132,0.76716,0.55994,1.37101,0.80966,0.91443,0.000264923,0.000264923,0.000264923
113,1189.89,1.4067,0.86845,0.90481,0.81428,0.69932,0.76085,0.56118,1.34425,0.81072,0.9113,0.000262013,0.000262013,0.000262013
114,1200.1,1.36008,0.84119,0.89761,0.80761,0.70523,0.76038,0.55985,1.34691,0.82148,0.91203,0.000259102,0.000259102,0.000259102
115,1210.37,1.36909,0.84934,0.89667,0.8126,0.70398,0.75351,0.55433,1.36143,0.80637,0.91516,0.000256192,0.000256192,0.000256192
116,1220.23,1.36103,0.83902,0.89999,0.82522,0.70084,0.76492,0.56202,1.33454,0.79847,0.90995,0.000253281,0.000253281,0.000253281
117,1230.16,1.36055,0.84396,0.89755,0.8496,0.70263,0.77145,0.56935,1.33108,0.78968,0.90908,0.00025037,0.00025037,0.00025037
118,1240.52,1.38487,0.86033,0.89921,0.83526,0.69965,0.76852,0.56788,1.33999,0.80138,0.91046,0.00024746,0.00024746,0.00024746
119,1250.98,1.36269,0.84614,0.89626,0.83744,0.70627,0.76947,0.56751,1.3323,0.80496,0.90821,0.000244549,0.000244549,0.000244549
120,1260.93,1.36067,0.8433,0.8947,0.83985,0.70447,0.76114,0.5622,1.34293,0.81502,0.91276,0.000241639,0.000241639,0.000241639
121,1271.22,1.36583,0.84625,0.89667,0.81827,0.71531,0.7678,0.56924,1.32579,0.79165,0.90754,0.000238728,0.000238728,0.000238728
122,1281.57,1.33496,0.83221,0.88864,0.81446,0.71894,0.77679,0.57255,1.32557,0.78534,0.90729,0.000235817,0.000235817,0.000235817
123,1291.85,1.33697,0.82188,0.89227,0.84277,0.71043,0.77607,0.56608,1.33477,0.78456,0.90844,0.000232907,0.000232907,0.000232907
124,1301.9,1.32672,0.82015,0.89337,0.81684,0.71053,0.76896,0.57037,1.33498,0.79749,0.90935,0.000229996,0.000229996,0.000229996
125,1311.83,1.32221,0.81577,0.89435,0.85187,0.69152,0.76132,0.54786,1.35136,0.79147,0.91098,0.000227086,0.000227086,0.000227086
126,1321.92,1.32755,0.81813,0.89126,0.8133,0.71916,0.76513,0.55451,1.33596,0.78279,0.90744,0.000224175,0.000224175,0.000224175
127,1332.03,1.33808,0.83048,0.88997,0.82192,0.71736,0.77101,0.56812,1.31368,0.78376,0.90367,0.000221264,0.000221264,0.000221264
128,1342.21,1.32475,0.81963,0.89622,0.82335,0.70472,0.76368,0.55888,1.33157,0.78899,0.90816,0.000218354,0.000218354,0.000218354
129,1351.98,1.33534,0.82056,0.89337,0.81859,0.71739,0.76661,0.56231,1.32768,0.77818,0.90851,0.000215443,0.000215443,0.000215443
130,1362.25,1.33238,0.81831,0.89001,0.83545,0.71052,0.77335,0.5765,1.31555,0.77762,0.90434,0.000212533,0.000212533,0.000212533
131,1372.44,1.31789,0.81019,0.88986,0.81642,0.72348,0.77434,0.58101,1.3018,0.76858,0.90346,0.000209622,0.000209622,0.000209622
132,1382.38,1.33451,0.82012,0.88856,0.81541,0.72254,0.77714,0.57474,1.32195,0.78431,0.90569,0.000206711,0.000206711,0.000206711
133,1392.38,1.31898,0.80916,0.88959,0.84511,0.7042,0.77818,0.57738,1.31963,0.77668,0.90579,0.000203801,0.000203801,0.000203801
134,1402.54,1.3477,0.82489,0.89289,0.83114,0.7156,0.77703,0.58479,1.30363,0.77264,0.90285,0.00020089,0.00020089,0.00020089
135,1412.5,1.32305,0.81056,0.88983,0.85519,0.72107,0.78039,0.57979,1.3064,0.76556,0.90352,0.00019798,0.00019798,0.00019798
136,1423.15,1.33115,0.81056,0.89249,0.82884,0.72996,0.77945,0.58071,1.30304,0.75962,0.90307,0.000195069,0.000195069,0.000195069
137,1433.53,1.30687,0.79808,0.88752,0.84532,0.72012,0.77978,0.57623,1.30374,0.76723,0.90443,0.000192158,0.000192158,0.000192158
138,1443.56,1.31237,0.80324,0.88938,0.85028,0.72142,0.77886,0.5781,1.30615,0.76832,0.9042,0.000189248,0.000189248,0.000189248
139,1453.75,1.32972,0.81269,0.89083,0.84819,0.7271,0.78452,0.58509,1.30454,0.76265,0.90281,0.000186337,0.000186337,0.000186337
140,1463.82,1.31721,0.80306,0.8886,0.84086,0.71586,0.77522,0.56472,1.34694,0.7774,0.90994,0.000183427,0.000183427,0.000183427
141,1473.99,1.32403,0.81036,0.88936,0.8161,0.72285,0.77729,0.57714,1.29545,0.76317,0.90061,0.000180516,0.000180516,0.000180516
142,1484.29,1.3201,0.80448,0.88887,0.83602,0.70566,0.77355,0.5728,1.31639,0.77548,0.90631,0.000177605,0.000177605,0.000177605
143,1494.81,1.31446,0.79973,0.8909,0.85124,0.71505,0.78267,0.58076,1.29806,0.75711,0.90239,0.000174695,0.000174695,0.000174695
144,1505.04,1.33082,0.82145,0.88704,0.83359,0.71099,0.77743,0.57142,1.31262,0.76681,0.90403,0.000171784,0.000171784,0.000171784
145,1515.32,1.31652,0.80412,0.88802,0.82386,0.72956,0.78127,0.58105,1.30859,0.76182,0.90253,0.000168874,0.000168874,0.000168874
146,1525.41,1.31844,0.80085,0.88804,0.8234,0.72952,0.77929,0.5719,1.31877,0.76208,0.90415,0.000165963,0.000165963,0.000165963
147,1535.66,1.30223,0.7922,0.88622,0.83401,0.72912,0.77767,0.57939,1.29818,0.75955,0.9022,0.000163052,0.000163052,0.000163052
148,1546.04,1.30039,0.79088,0.8844,0.83529,0.72779,0.78139,0.58322,1.29129,0.75132,0.90096,0.000160142,0.000160142,0.000160142
149,1556.39,1.2964,0.78765,0.88492,0.82908,0.73139,0.78238,0.58771,1.2897,0.75092,0.89996,0.000157231,0.000157231,0.000157231
150,1566.55,1.31254,0.79255,0.88617,0.83313,0.73735,0.78757,0.58377,1.30035,0.75464,0.90268,0.000154321,0.000154321,0.000154321
151,1576.93,1.29472,0.78742,0.88559,0.82295,0.7362,0.78733,0.58271,1.30075,0.75565,0.9022,0.00015141,0.00015141,0.00015141
152,1587.13,1.29721,0.7893,0.88545,0.82879,0.74274,0.78688,0.59143,1.28898,0.75278,0.8985,0.000148499,0.000148499,0.000148499
153,1597.19,1.30465,0.7883,0.88797,0.8408,0.73872,0.78929,0.58666,1.29955,0.74943,0.90066,0.000145589,0.000145589,0.000145589
154,1607.46,1.3131,0.79561,0.88566,0.84415,0.7307,0.78706,0.57948,1.30164,0.75279,0.90161,0.000142678,0.000142678,0.000142678
155,1617.78,1.29878,0.78978,0.88226,0.86077,0.72444,0.79074,0.58744,1.29502,0.75455,0.90062,0.000139768,0.000139768,0.000139768
156,1627.91,1.29981,0.78514,0.8826,0.85119,0.72852,0.78715,0.58804,1.29025,0.75117,0.89995,0.000136857,0.000136857,0.000136857
157,1637.91,1.28614,0.77926,0.88305,0.84928,0.72467,0.7845,0.58281,1.3015,0.75584,0.90233,0.000133946,0.000133946,0.000133946
158,1648.08,1.28648,0.7797,0.88433,0.85902,0.73956,0.79054,0.59632,1.27967,0.74011,0.89819,0.000131036,0.000131036,0.000131036
159,1658.22,1.29365,0.7868,0.88267,0.85306,0.73797,0.78574,0.59226,1.27767,0.74609,0.89695,0.000128125,0.000128125,0.000128125
160,1668.48,1.27467,0.7689,0.88066,0.84472,0.73906,0.78911,0.59392,1.28201,0.74055,0.89669,0.000125215,0.000125215,0.000125215
161,1678.81,1.30215,0.79417,0.88493,0.84983,0.73208,0.78993,0.59192,1.28571,0.74478,0.89898,0.000122304,0.000122304,0.000122304
162,1688.76,1.29639,0.78092,0.88228,0.84861,0.7369,0.79407,0.59003,1.29452,0.74076,0.89962,0.000119393,0.000119393,0.000119393
163,1699.17,1.29225,0.77534,0.88278,0.84137,0.74878,0.79486,0.59689,1.2682,0.73345,0.89411,0.000116483,0.000116483,0.000116483
164,1709,1.27413,0.77258,0.88169,0.84134,0.73661,0.79162,0.59277,1.28321,0.73683,0.89716,0.000113572,0.000113572,0.000113572
165,1719.11,1.27128,0.76447,0.88316,0.85982,0.73707,0.79525,0.59597,1.27735,0.7378,0.89697,0.000110662,0.000110662,0.000110662
166,1729.46,1.27761,0.76853,0.88086,0.83884,0.74362,0.79619,0.59804,1.27327,0.73796,0.89633,0.000107751,0.000107751,0.000107751
167,1739.74,1.27614,0.76755,0.88156,0.84887,0.7411,0.79439,0.59432,1.27502,0.73231,0.89638,0.00010484,0.00010484,0.00010484
168,1749.82,1.26953,0.76787,0.88271,0.85694,0.73556,0.79274,0.59124,1.2812,0.73576,0.89727,0.00010193,0.00010193,0.00010193
